Parameter,Object,Writable,Value,Value type
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPS.PinPhrase,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPS.X_HUAWEI_WPSMode,false,true,ap-pbc,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_AssociateDeviceNum,false,true,32,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_ChannelUsed,false,false,9,xsd:int
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_MixedAuthenticationMode,false,true,PSKAuthentication,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_MixedEncryptionModes,false,true,TKIPandAESEncryption,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_PowerValue,false,true,12,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_TotalBytesReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_TotalBytesSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_TotalPacketsReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_TotalPacketsSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WLANVersion,false,false,wlacmd_atpv001r001,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_Wlan11NBWControl,false,true,20/40,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_Wlan11NGIControl,false,true,long,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_Wlan11NHtMcs,false,true,33,xsd:int
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_Wlan11NTxRxStream,false,false,1,xsd:int
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WlanIsolateControl,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WlanMacFilter,true,true,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WlanMacFilternum,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WlanMacFilterpolicy,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.X_HUAWEI_WlanStaWakeEnable,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.X_HUAWEI_WLANEnable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDeviceNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.1,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.1.AvailableInterfaceKey,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.1.InterfaceReference,false,false,InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.1.InterfaceType,false,false,LANInterface,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.2,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.2.AvailableInterfaceKey,false,false,2,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.2.InterfaceReference,false,false,InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.2.InterfaceType,false,false,LANInterface,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.3,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.3.AvailableInterfaceKey,false,false,3,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.3.InterfaceReference,false,false,InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.3.InterfaceType,false,false,LANInterface,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.4,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.4.AvailableInterfaceKey,false,false,4,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.4.InterfaceReference,false,false,InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.4.InterfaceType,false,false,LANInterface,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.5,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.5.AvailableInterfaceKey,false,false,5,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.5.InterfaceReference,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.5.InterfaceType,false,false,LANInterface,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.6,true,false,,
InternetGatewayDevice.Layer2Bridging.AvailableInterface.6.AvailableInterfaceKey,false,false,6,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.AvailableInterface.6.InterfaceReference,false,false,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterface.6.InterfaceType,false,false,WANRouterConnection,xsd:string
InternetGatewayDevice.Layer2Bridging.AvailableInterfaceNumberOfEntries,false,false,6,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.Bridge,true,false,,
InternetGatewayDevice.Layer2Bridging.Bridge.1,true,false,,
InternetGatewayDevice.Layer2Bridging.Bridge.1.BridgeName,false,true,br0,xsd:string
InternetGatewayDevice.Layer2Bridging.BridgeNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.MaxBridgeEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_Enable,false,true,false,xsd:boolean
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_Filter,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_InterfaceLinkType,false,true,2,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_InterfaceName,false,false,LAN,xsd:string
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_InterfaceTagType,false,true,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_VLANCFI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_VLANID,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.1.X_HUAWEI_VLANPRI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_InterfaceLinkType,false,true,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_InterfaceName,false,false,WAN,xsd:string
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_InterfaceTagType,false,true,1,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_VLANCFI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_VLANID,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.2.X_HUAWEI_VLANPRI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_InterfaceLinkType,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_InterfaceName,false,false,IAD,xsd:string
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_InterfaceTagType,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_VLANCFI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_VLANID,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.3.X_HUAWEI_VLANPRI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4,true,true,,
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_InterfaceLinkType,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_InterfaceName,false,false,WLAN,xsd:string
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_InterfaceTagType,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_VLANCFI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_VLANID,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_InterfacePolicy.4.X_HUAWEI_VLANPRI,false,true,0,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_MaxFilterEntries,false,false,15,xsd:unsignedInt
InternetGatewayDevice.Layer2Bridging.X_HUAWEI_VLAN.X_HUAWEI_MaxInterfacePolicyEntries,false,false,4,xsd:unsignedInt
InternetGatewayDevice.Layer3Forwarding,true,false,,
InternetGatewayDevice.Layer3Forwarding.DefaultConnectionService,false,true,,xsd:string
InternetGatewayDevice.Layer3Forwarding.ForwardNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.Layer3Forwarding.Forwarding,true,true,,
InternetGatewayDevice.Layer3Forwarding.X_HUAWEI_AutoDefaultGatewayEnable,false,true,false,xsd:boolean
InternetGatewayDevice.Layer3Forwarding.X_HUAWEI_DefaultGatewayIPAddress,false,true,,xsd:string
InternetGatewayDevice.Layer3QoS,true,false,,
InternetGatewayDevice.Layer3QoS.AvailableInterfaceNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.Layer3QoS.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.Layer3QoS.InterfaceQualityService,true,false,,
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.1,true,false,,
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.1.Dscp,false,true,-1,xsd:int
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.1.InterfaceName,false,false,LAN,xsd:string
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.2,true,false,,
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.2.Dscp,false,true,-1,xsd:int
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.2.InterfaceName,false,false,IAD,xsd:string
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.3,true,false,,
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.3.Dscp,false,true,-1,xsd:int
InternetGatewayDevice.Layer3QoS.InterfaceQualityService.3.InterfaceName,false,false,WLAN,xsd:string
InternetGatewayDevice.ManagementServer,true,false,,
InternetGatewayDevice.ManagementServer.ConnectionRequestPassword,false,true,69t0mkjya1,xsd:string
InternetGatewayDevice.ManagementServer.ConnectionRequestURL,false,false,http://127.0.0.1:57543/,xsd:string
InternetGatewayDevice.ManagementServer.ConnectionRequestUsername,false,true,202BC1-BM632w-000000,xsd:string
InternetGatewayDevice.ManagementServer.ParameterKey,false,false,,xsd:string
InternetGatewayDevice.ManagementServer.Password,false,true,,xsd:string
InternetGatewayDevice.ManagementServer.PeriodicInformEnable,false,true,true,xsd:boolean
InternetGatewayDevice.ManagementServer.PeriodicInformInterval,false,true,300,xsd:unsignedInt
InternetGatewayDevice.ManagementServer.URL,false,true,http://192.168.1.6:7547,xsd:string
InternetGatewayDevice.ManagementServer.Username,false,true,8KA8WA1151100043,xsd:string
InternetGatewayDevice.ManagementServer.X_HUAWEI_SSLCertEnable,false,true,false,xsd:boolean
InternetGatewayDevice.ManagementServerConfig,true,false,,
InternetGatewayDevice.ManagementServerConfig.UpdateFlag,false,true,0,xsd:unsignedInt
InternetGatewayDevice.ManagementServerConfig.UpdateUrl,false,true,http://172.200.20.60:7547,xsd:string
InternetGatewayDevice.OperatorProfile,true,false,,
InternetGatewayDevice.OperatorProfile.1,true,false,,
InternetGatewayDevice.OperatorProfile.1.ContactNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.RootCANumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters,true,false,,
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile,true,false,,
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1,true,false,,
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.CertificateNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.CheckCodeEnable,false,true,false,xsd:boolean
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.EncapsulationProtocol,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.Identity,false,true,202BC1E00665@fanoostelecom.net,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.IdentityPrivacyEnable,false,true,false,xsd:boolean
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.PseudonymIdentity,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.Realm,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.ServerRealmList,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.SharedSecret,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.Type,false,true,EAP-TLS,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1.VerifyServerRealmListEnable,false,true,false,xsd:boolean
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfileNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.Primary,true,false,,
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.Primary.Activated,false,true,true,xsd:boolean
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.Primary.EAPProfiles,false,true,InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.EAPProfile.1,xsd:string
InternetGatewayDevice.OperatorProfile.1.SubscriptionParameters.Primary.Name,false,true,WiMAX,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.Bandwidth,false,true,5000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.ChannelPlanIdentifier,false,true,AB,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.DuplexMode,false,true,-1,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.FFTSize,false,true,1024,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.FirstFrequency,false,true,3532500,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.LastFrequency,false,true,3557500,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.NextFrequencySteps,false,true,5000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.1.Preambles,false,true,ffffffffffffffffffffffffffffff,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.Bandwidth,false,true,10000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.ChannelPlanIdentifier,false,true,CD,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.DuplexMode,false,true,-1,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.FFTSize,false,true,1024,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.FirstFrequency,false,true,3505000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.LastFrequency,false,true,3555000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.NextFrequencySteps,false,true,10000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.11.Preambles,false,true,ffffffffffffffffffffffffffffff,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.Bandwidth,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.ChannelPlanIdentifier,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.DuplexMode,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.FFTSize,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.FirstFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.LastFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.NextFrequencySteps,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.12.Preambles,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.Bandwidth,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.ChannelPlanIdentifier,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.DuplexMode,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.FFTSize,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.FirstFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.LastFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.NextFrequencySteps,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.13.Preambles,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.Bandwidth,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.ChannelPlanIdentifier,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.DuplexMode,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.FFTSize,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.FirstFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.LastFrequency,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.NextFrequencySteps,false,true,0,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlan.14.Preambles,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.ChannelPlanNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.DefaultChannelPlan,true,false,,
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.DefaultChannelPlan.Bandwidth,false,true,5000,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.DefaultChannelPlan.DuplexMode,false,true,-1,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.DefaultChannelPlan.FFTSize,false,true,1024,xsd:int
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.HomeNetworkServiceProviderNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.WiMAXNetworkParameters.OperatorName,false,false,WiMAX,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.CertChainFileNum,false,true,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.1,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.1.ChainId,false,true,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.1.FilePath,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.2,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.2.ChainId,false,true,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.2.FilePath,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.3,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.3.ChainId,false,true,0,xsd:unsignedInt
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.Chain.3.FilePath,false,true,,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.PreKey,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.PreKey.FilePath,false,true,/var/pthp/prikey,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.RootCA,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.RootCA.FilePath,false,true,/var/pthp/rootcert,xsd:string
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.UserCert,true,false,,
InternetGatewayDevice.OperatorProfile.1.X_HUAWEI_WiMAXConfig.UserCert.FilePath,false,true,/var/pthp/certificate,xsd:string
InternetGatewayDevice.Services,true,false,,
InternetGatewayDevice.Services.VoiceService,true,false,,
InternetGatewayDevice.Services.VoiceService.1,true,false,,
InternetGatewayDevice.Services.VoiceService.1.Capabilities,true,false,,
InternetGatewayDevice.Services.VoiceService.1.Capabilities.ButtonMap,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.Capabilities.FaxPassThrough,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.Capabilities.FaxT38,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.Capabilities.MaxSessionsPerLine,false,false,3,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.Capabilities.NumberingPlan,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.Capabilities.PSTNSoftSwitchover,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.Capabilities.SIP,true,false,,
InternetGatewayDevice.Services.VoiceService.1.Capabilities.SIP.EventSubscription,false,false,true,xsd:boolean
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.ButtonMap,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.ButtonMap.Button,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.DTMFMethod,false,true,InBand,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Enable,false,true,Enabled,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line,true,true,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Name,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberingPlan.InterDigitTimerStd,false,true,5000,xsd:unsignedInt
